date,sza,T_UVB305,T_UVB310,T_W324,T_UVA380,tau
2018-01-01,22.0,0.843,0.923,0.971,0.965,0.0
2018-01-10,23.1,0.266,0.311,0.334,0.301,56.81
2018-01-19,24.7,1.077,1.061,1.021,1.004,0.0
2018-01-28,26.8,0.721,0.719,0.672,0.601,1.93
2018-02-06,29.4,0.438,0.481,0.493,0.395,0.0
2018-02-15,32.3,1.085,1.071,1.061,1.044,0.0
2018-02-24,35.5,1.172,1.097,1.048,1.041,0.0
2018-03-05,38.9,1.204,1.122,1.084,1.082,0.0
2018-03-14,42.4,1.243,1.092,0.998,0.967,0.0
2018-03-23,46.0,1.127,1.029,0.977,0.951,2.96
2018-04-01,49.5,1.265,1.077,0.968,0.925,0.0
2018-04-10,52.9,0.348,0.366,0.387,0.311,7.1
2018-04-19,56.1,0.614,0.559,0.504,0.406,0.81
2018-04-28,59.1,0.446,0.421,0.395,0.34,0.0
2018-05-07,61.8,0.985,0.916,0.863,0.842,8.13
2018-05-16,64.1,0.301,0.303,0.287,0.231,118.21
2018-05-25,66.0,0.379,0.492,0.613,0.527,5.36
2018-06-03,67.3,0.42,0.464,0.481,0.415,10.92
2018-06-12,68.2,0.784,0.862,0.888,0.821,1.52
2018-06-21,68.5,0.723,0.867,0.988,0.98,4.03
2018-06-30,68.2,1.033,0.808,0.581,0.475,6.22
2018-07-09,67.4,0.315,0.502,0.757,0.719,4.88
2018-07-18,66.1,0.883,0.954,0.974,0.964,0.0
2018-07-27,64.3,0.594,0.758,0.906,0.994,4.95
2018-08-05,62.1,1.051,0.979,0.883,0.858,8.7
2018-08-14,59.5,0.243,0.3,0.348,0.293,16.54
2018-08-23,56.6,0.545,0.655,0.77,0.747,1.62
2018-09-01,53.4,1.018,0.996,0.983,0.967,0.0
2018-09-10,50.1,0.736,0.911,1.118,1.227,18.72
2018-09-19,46.6,1.184,1.087,0.998,0.971,0.0
2018-09-28,43.1,0.899,0.945,0.978,0.968,0.0
2018-10-07,39.6,0.835,0.92,0.986,0.988,9.05
2018-10-16,36.2,1.022,1.005,0.967,0.954,1.15
2018-10-25,33.0,0.188,0.233,0.261,0.235,14.15
2018-11-03,30.1,0.623,0.687,0.736,0.703,0.0
2018-11-12,27.4,0.4,0.469,0.513,0.455,7.14
2018-11-21,25.2,0.5,0.589,0.653,0.611,26.08
2018-11-30,23.4,0.828,0.914,0.969,0.978,7.92
2018-12-09,22.3,0.102,0.121,0.128,0.112,30.07
2018-12-18,21.7,0.638,0.753,0.74,0.669,7.71
2018-12-27,21.7,0.745,0.784,0.783,0.708,8.77
